1,2,3,4,1
2,4,2,3,3
1,5,1,5,2
2,2,4,4,4
1,4,5,8,1
2,6,0,5,5
1,1,4,7,4
2,4,6,4,8
1,3,2,6,7
2,0,4,3,11
1,0,5,5,10
2,0,6,4,12
1,1,5,6,11
2,4,1,3,15
1,1,3,6,13
2,0,3,3,17
1,5,0,7,14
2,4,0,5,17
1,3,5,8,15
2,2,2,6,18
1,3,1,9,16
2,2,5,3,23
1,3,6,6,21
2,2,1,4,24
1,0,2,7,22
2,0,1,6,24
1,3,0,9,22
2,2,0,7,25
1,5,2,10,23
2,3,7,5,29
1,4,7,9,26
2,5,7,7,29
1,1,2,12,25
2,6,2,7,31
1,1,0,10,29
2,0,0,9,31
1,2,6,12,29
2,2,7,8,34
1,7,2,12,31
2,5,4,6,38
1,5,3,11,34
2,6,4,9,37
1,5,5,13,34
2,5,6,8,40
1,6,5,12,37
2,7,5,8,42
1,1,7,11,40
2,0,7,10,42
1,6,3,12,41
2,7,3,5,49
1,7,4,8,47
2,7,1,5,51
1,7,6,7,50
2,7,7,6,52
1,6,6,11,48
2,1,6,6,54
1,6,7,8,53
1,1,1,11,51
1,6,1,18,45
2,7,0,17,47
