1,3,2,4,1
2,2,2,3,3
1,1,2,5,2
2,3,1,4,4
1,3,0,8,1
2,4,2,7,3
1,5,2,10,1
2,4,1,8,4
1,5,1,11,2
2,4,0,9,5
1,5,0,12,3
2,0,2,9,7
1,4,5,13,4
2,6,2,11,7
1,5,3,14,5
2,3,5,10,10
1,3,6,15,6
2,2,0,13,9
1,7,1,17,6
2,3,7,12,12
1,2,3,16,9
2,6,0,12,14
1,2,1,15,12
2,2,4,11,17
1,1,3,15,14
2,5,4,8,22
1,4,6,15,16
2,4,7,9,23
1,6,4,15,18
2,2,5,10,24
1,5,7,14,21
2,5,5,9,27
1,6,3,14,23
2,7,5,10,28
1,2,7,16,23
2,0,3,12,28
1,7,3,16,25
2,6,5,12,30
1,2,6,17,26
2,1,5,14,30
1,1,4,18,27
2,0,4,14,32
1,5,6,17,30
2,7,2,14,34
1,0,1,19,30
2,0,0,18,32
1,0,5,21,30
2,7,0,20,32
1,7,4,22,31
2,6,7,17,37
1,7,7,19,36
2,0,6,17,39
1,1,0,22,35
2,1,7,21,37
1,0,7,23,36
2,6,6,20,40
1,7,6,25,36
2,1,1,24,38
1,6,1,29,34
2,1,6,28,36
