1,3,2,4,1
2,2,2,3,3
1,1,2,5,2
2,3,1,4,4
1,3,0,8,1
2,4,2,7,3
1,5,1,9,2
2,2,1,8,4
1,2,0,10,3
2,4,1,9,5
1,5,2,14,1
2,4,0,11,5
1,5,0,14,3
2,1,0,12,6
1,0,0,14,5
2,0,2,12,8
1,5,3,15,6
2,6,2,12,10
1,0,3,15,8
2,2,3,13,11
1,1,4,16,9
2,1,3,15,11
1,2,4,20,7
2,0,4,16,12
1,7,2,19,10
2,6,0,16,14
1,7,0,18,13
2,0,1,16,16
1,0,5,23,10
2,1,5,22,12
1,5,4,29,6
2,6,3,27,9
1,7,3,32,5
2,4,5,28,10
1,2,5,32,7
2,7,1,30,10
1,6,4,33,8
2,7,4,29,13
1,7,5,35,8
2,6,5,33,11
1,5,5,38,7
2,3,5,35,11
1,2,6,40,7
2,5,6,36,12
1,3,6,40,9
2,4,6,39,11
1,3,7,42,9
2,0,6,41,11
1,0,7,43,10
2,2,7,41,13
1,1,7,45,10
2,4,7,44,12
1,5,7,47,10
2,6,7,44,14
1,7,7,46,13
2,1,1,43,17
1,6,1,50,11
2,1,6,49,13
1,6,6,51,12
2,7,6,48,16
