1,2,3,4,1
2,4,2,3,3
1,5,2,5,2
2,2,4,3,5
1,4,1,5,4
2,4,0,2,8
1,3,0,4,7
2,6,2,3,9
1,5,0,5,8
2,2,2,4,10
1,6,3,6,9
2,6,4,5,11
1,7,4,7,10
2,6,1,6,12
1,5,4,8,11
2,6,5,5,15
1,5,6,7,14
2,7,6,6,16
1,7,2,8,15
2,7,0,7,17
1,1,4,13,12
2,4,5,10,16
1,6,6,12,15
2,6,7,8,20
1,3,6,12,17
2,0,4,10,20
1,3,2,15,16
2,2,1,12,20
1,1,2,18,15
2,0,1,14,20
1,1,5,17,18
2,3,1,15,21
1,0,2,17,20
2,5,1,15,23
1,6,0,20,19
2,2,0,14,26
1,1,1,19,22
2,7,1,13,29
1,3,5,15,28
2,3,7,11,33
1,4,7,14,31
2,5,3,11,35
1,5,5,14,33
2,5,7,11,37
1,2,6,13,36
2,1,7,10,40
1,7,7,14,37
2,7,5,11,41
1,4,6,14,39
2,1,3,9,45
1,1,0,14,41
2,7,3,11,45
1,2,5,13,44
2,0,5,8,50
1,1,6,11,48
2,0,3,7,53
1,2,7,12,49
2,0,6,10,52
1,0,7,12,51
2,0,0,10,54
