1,4,5,4,1
2,3,5,3,3
1,2,3,6,1
2,3,2,4,4
1,2,1,6,3
2,5,3,4,6
1,5,4,6,5
2,5,5,4,8
1,3,6,8,5
2,1,0,5,9
1,6,5,8,7
2,1,3,6,10
1,5,2,10,7
2,2,4,9,9
1,0,2,12,7
2,0,3,11,9
1,3,1,15,6
2,4,1,13,9
1,3,0,17,6
2,4,6,14,10
1,5,6,17,8
2,4,2,15,11
1,1,1,17,10
2,6,2,15,13
1,1,4,18,11
2,1,5,16,14
1,2,2,19,12
2,1,2,16,16
1,0,5,18,15
2,2,0,16,18
1,0,1,21,14
2,4,0,18,18
1,6,3,21,16
2,6,4,16,22
1,0,4,18,21
2,3,7,15,25
1,7,2,23,18
2,5,1,20,22
1,7,4,22,21
2,7,3,19,25
1,2,6,23,22
2,5,7,21,25
1,6,1,29,18
2,7,5,26,22
1,6,7,28,21
2,1,6,24,26
1,4,7,27,24
2,5,0,22,30
1,2,5,30,23
2,7,1,27,27
1,1,7,30,25
2,2,7,20,36
1,7,6,23,34
2,0,6,21,37
1,7,0,29,30
2,0,0,23,37
1,0,7,26,35
2,6,6,23,39
2,6,0,22,41
2,7,7,19,45
