1,4,5,4,1
2,3,5,3,3
1,2,2,5,2
2,3,2,4,4
1,2,5,7,2
2,1,1,6,4
1,0,0,10,1
2,1,2,9,3
1,2,1,11,2
2,1,0,10,4
1,0,2,13,2
2,1,3,12,4
1,2,0,15,2
2,3,0,14,4
1,4,0,16,3
2,0,1,15,5
1,2,4,17,4
2,0,3,16,6
1,0,4,20,3
2,1,4,19,5
1,3,1,22,3
2,3,6,21,5
1,2,6,23,4
2,5,4,19,9
1,6,4,25,4
2,1,5,22,8
1,4,7,26,5
2,4,2,20,12
1,4,6,24,9
2,3,7,20,14
1,2,3,23,12
2,5,7,21,15
1,5,6,24,13
2,5,5,22,16
1,0,5,24,15
2,0,6,22,18
1,6,5,26,15
2,7,4,23,19
1,4,1,28,15
2,5,3,25,19
1,1,6,27,18
2,0,7,24,22
1,7,5,28,19
2,7,6,26,22
1,6,7,28,21
2,6,3,26,24
1,7,2,29,22
2,6,6,27,25
1,2,7,36,17
2,1,7,35,19
1,7,7,40,15
2,5,1,36,20
1,6,1,38,19
2,5,2,37,21
1,6,2,44,15
2,7,3,40,20
2,6,0,36,25
1,7,1,41,21
2,7,0,37,26
2,5,0,36,28
